         140802 function calls (136090 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1599(DurationField)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1660(EmailField)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(override)
        1    0.000    0.000    0.000    0.000 __init__.py:1685(FilePathField)
        1    0.000    0.000    0.097    0.097 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(FloatField)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        4    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1783(IntegerField)
        5    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1855(BigIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:1870(IPAddressField)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1901(GenericIPAddressField)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1982(NullBooleanField)
        2    0.000    0.000    0.069    0.034 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(LazySettings)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:2036(PositiveIntegerRelDbTypeMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:2053(PositiveIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2065(PositiveSmallIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2077(SlugField)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
        5    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2112(SmallIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2119(TextField)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2143(TimeField)
        5    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:2277(URLField)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:2301(BinaryField)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:2347(UUIDField)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:29(DefaultConnectionProxy)
        1    0.000    0.000    0.000    0.000 __init__.py:292(_CountryTimezoneDict)
        4    0.000    0.000    0.046    0.011 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(TranslatorCommentWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:314(CDLL)
        4    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:341(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:350(_CountryNameDict)
       20    0.000    0.000    0.010    0.001 __init__.py:356(namedtuple)
        5    0.000    0.000    0.000    0.000 __init__.py:357(__getattr__)
        5    0.000    0.000    0.000    0.000 __init__.py:364(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:37(BadSerializer)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:375(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:379(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:388(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
        1    0.000    0.000    0.012    0.012 __init__.py:40(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:401(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:410(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:411(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:414(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
      113    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(Trans)
      113    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:44(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:476(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:56(Empty)
        1    0.000    0.000    0.000    0.000 __init__.py:58(CacheHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:60(NOT_PROVIDED)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:64(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
        5    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:69(configured)
        2    0.000    0.000    0.003    0.002 __init__.py:7(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:752(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:77(BaseSettings)
        1    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:87(Settings)
        1    0.000    0.000    0.000    0.000 __init__.py:880(AutoField)
        1    0.000    0.000    0.004    0.004 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:90(DefaultCacheProxy)
        1    0.000    0.000    0.000    0.000 __init__.py:93(Field)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:959(BigAutoField)
        1    0.000    0.000    0.000    0.000 __init__.py:969(BooleanField)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:988(FileHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        1    0.000    0.000    0.001    0.001 _markupbase.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _os.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:267(Compat32)
        1    0.000    0.000    0.002    0.002 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       78    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       13    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       24    0.000    0.000    0.001    0.000 abc.py:132(__new__)
       24    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:151(register)
      8/4    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       51    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 aggregates.py:114(Sum)
        1    0.000    0.000    0.000    0.000 aggregates.py:128(Variance)
        1    0.000    0.000    0.000    0.000 aggregates.py:13(Aggregate)
        1    0.000    0.000    0.071    0.071 aggregates.py:3(<module>)
        1    0.000    0.000    0.000    0.000 aggregates.py:40(Avg)
        1    0.000    0.000    0.000    0.000 aggregates.py:60(Count)
        1    0.000    0.000    0.000    0.000 aggregates.py:84(Max)
        1    0.000    0.000    0.000    0.000 aggregates.py:89(Min)
        1    0.000    0.000    0.000    0.000 aggregates.py:94(StdDev)
        1    0.000    0.000    0.000    0.000 ast.py:221(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:258(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        5    0.000    0.000    0.007    0.001 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1008(TextNode)
        1    0.000    0.000    0.000    0.000 base.py:1035(VariableNode)
        1    0.000    0.000    0.000    0.000 base.py:11(InvalidCacheBackendError)
        1    0.000    0.000    0.000    0.000 base.py:122(TemplateEncodingError)
        1    0.000    0.000    0.000    0.000 base.py:123(Greatest)
        1    0.000    0.000    0.000    0.000 base.py:126(VariableDoesNotExist)
        1    0.000    0.000    0.000    0.000 base.py:13(File)
        1    0.000    0.000    0.000    0.000 base.py:13(MIMEBase)
        1    0.000    0.000    0.000    0.000 base.py:13(SerializationError)
        1    0.000    0.000    0.000    0.000 base.py:137(Origin)
        1    0.000    0.000    0.000    0.000 base.py:143(Least)
        1    0.000    0.000    0.000    0.000 base.py:147(ContentFile)
        1    0.000    0.000    0.000    0.000 base.py:15(CacheKeyWarning)
        1    0.000    0.000    0.000    0.000 base.py:154(Deserializer)
        1    0.000    0.000    0.000    0.000 base.py:163(Length)
        1    0.000    0.000    0.000    0.000 base.py:166(StringOrigin)
        1    0.000    0.000    0.000    0.000 base.py:171(Template)
        1    0.000    0.000    0.000    0.000 base.py:176(Lower)
        1    0.000    0.000    0.000    0.000 base.py:177(DeserializedObject)
        1    0.000    0.000    0.000    0.000 base.py:18(DeserializationError)
        1    0.000    0.000    0.000    0.000 base.py:181(Now)
        1    0.000    0.000    0.000    0.000 base.py:196(Substr)
        1    0.000    0.000    0.000    0.000 base.py:223(Upper)
        2    0.000    0.000    0.094    0.047 base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:30(ProgressBar)
        1    0.000    0.000    0.000    0.000 base.py:327(Token)
        1    0.000    0.000    0.000    0.000 base.py:372(Lexer)
        1    0.000    0.000    0.000    0.000 base.py:40(Coalesce)
        1    0.000    0.000    0.000    0.000 base.py:422(DebugLexer)
        1    0.000    0.000    0.000    0.000 base.py:43(Deferred)
        1    0.000    0.000    0.000    0.000 base.py:443(ModelState)
        1    0.000    0.000    0.000    0.000 base.py:449(Parser)
        1    0.000    0.000    0.000    0.000 base.py:455(Model)
        1    0.000    0.000    0.000    0.000 base.py:5(<module>)
        1    0.000    0.000    0.009    0.009 base.py:50(<module>)
